# SentiWords v1.1 (14/03/2018)
# Copyright 2018 Trento RISE and FBK
# All rights reserved.
#
# SentiWords is distributed under the Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) license.
# http://creativecommons.org/licenses/by-sa/3.0/
#
# For any information about SentiWords:
# https://hlt.fbk.eu/technologies/sentiwords
#
# If you use SentiWords, please cite:
# Gatti L., Guerini M. & Turchi M. "SentiWords: Deriving a High Precision and High Coverage Lexicon for Sentiment Analysis". 
# IEEE Transactions on Affective Computing 7.4 (2016): 409-421.
#
# --------------------------------------------
#
# SentiWords is based on SentiWordNet version 3.0.
# SentiWordNet website: http://sentiwordnet.isti.cnr.it/
#
# Each lemma#PoS in this file is associated with the prior polarity value computed from the scores of 
# all the SentiWordNet senses for that lemma#PoS, following the methodology described in Guerini et al. (2015). 
# Prior Polarity values are between -1 (very negative) and +1 (very positive).
#
# --------------------------------------------
#
# lemma#PoS	prior_polarity_score
.22_caliber#a	0
.22_calibre#a	0
.22-caliber#a	0
.22-calibre#a	0
.22#n	0.12208
.38_caliber#a	0
.38_calibre#a	0
.38-caliber#a	0
.38-calibre#a	0
.45_caliber#a	0
.45_calibre#a	0
.45-caliber#a	0
.45-calibre#a	0
0#a	-0.34088
0#n	0
1_chronicles#n	0
1_esdras#n	0
1_kings#n	0
1_maccabees#n	0
1_samuel#n	0
1-dodecanol#n	0
1-hitter#n	0
1#a	-0.19821
1#n	0
10-membered#a	0
10#a	0
10#n	0
100#a	0
100#n	0
1000#a	0
1000#n	0
10000#n	0
100000#n	0
1000000#n	0
1000000000#n	0
1000000000000#n	0
1000th#a	0
100th#a	0
101#a	-0.19821
101st#a	0
105#a	-0.19821
105th#a	0
10th#a	0
11_november#n	0
11-plus#n	0
11#a	0
11#n	0
110#a	0
110th#a	0
115#a	0
115th#a	0
11th#a	0
12-tone_music#n	0
12-tone_system#n	0
12#a	0
12#n	0
120#a	0
120#n	0
120th#a	0
125#a	-0.07997
125th#a	0
12th#a	0
13#a	0
13#n	0
130#a	0
130th#a	0
135#a	-0.07997
135th#a	0
13th#a	0
14_july#n	0
14#a	0
14#n	0
140#a	0
140th#a	0
144#n	0
145#a	-0.07997
145th#a	0
14th#a	0
15_august_1945#n	0
15_may_organization#n	0
15_minutes#n	0
15#a	0
15#n	0
150#a	0
150th#a	0
1530s#n	0
155#a	-0.07997
155th#a	0
15th#a	0
16_pf#n	0
16#a	0
16#n	0
160#a	0
160th#a	0
165#a	-0.07997
165th#a	0
16th#a	0
17_november#n	0
17#a	0
17#n	0
170#a	0
170th#a	0
1728#n	0
175#a	-0.07997
1750s#n	0
175th#a	0
1760s#n	0
1770s#n	0
1780s#n	0
1790s#n	0
17th#a	0
18-karat_gold#n	0
18#a	0
18#n	0
180#a	0
180th#a	0
1820s#n	0
1830s#n	0
1840s#n	0
1850s#n	0
1860s#n	0
1870s#n	0
1880s#n	0
1890s#n	0
18th#a	0
19#a	0
19#n	0
190#a	0
1900s#n	0
190th#a	0
1920s#n	0
1930s#n	0
1940s#n	0
1950s#n	0
1960s#n	0
1970s#n	0
1980s#n	0
1990s#n	0
19th#a	0
1st_baron_beaverbrook#n	0
1st_baron_verulam#n	0
1st_class#n	0
1st_earl_attlee#n	0
1st_earl_baldwin_of_bewdley#n	0
1st_earl_of_balfour#n	0
1st_lieutenant#n	0
1st_viscount_montgomery_of_alamein#n	0
1st-class_mail#n	0
1st#a	0
2_chronicles#n	0
2_esdras#n	0.15793
2_kings#n	0
2_maccabees#n	0
2_samuel#n	0
2-dimensional#a	-0.38925
2-hitter#n	0
2-hydroxybenzoic_acid#n	0
2-methylpropenoic_acid#n	0
2#a	0
2#n	0
20/20#n	0
20#a	0
20#n	0
200#a	0
200th#a	0
20th#a	0
21#a	0
21#n	0
21st#a	0
22-karat_gold#n	0
22#a	0
22#n	0
22nd#a	0
23#a	0
23#n	0
23rd#a	0
24-hour_interval#n	0
24-karat_gold#n	0
24/7#n	0
24#a	0
24#n	0
24th#a	0
25#a	0
25#n	0
25th#a	0
26#a	0
26#n	0
26th#a	0
27#a	0
27#n	0
27th#a	0
28#a	0
28#n	0
28th#a	0
29#a	0
29#n	0
29th#a	0
2d#a	0
2nd_lieutenant#n	0
2nd#a	0
3-d#n	0
3-dimensional#a	0
3-hitter#n	0
3-membered#a	0
3#a	0
3#n	0
30_minutes#n	0
30#a	0
30#n	0
300#a	-0.19821
300th#a	0
30th#a	0
31#a	0
31st#a	0
32#a	0
32nd#a	0
33#a	0
33rd#a	0
34#a	0
34th#a	0
35#a	0
35th#a	0
36#a	0
365_days#n	-0.34088
366_days#n	0.15793
36th#a	0
37#a	0
37th#a	0
38#a	0
38th#a	0
39#a	0
39th#a	0
3d_radar#n	0
3d#n	0
3rd_october_organization#n	0
3rd#a	0
3tc#n	-0.19821
4-dimensional#a	0
4-hitter#n	0
4-membered#a	0
4#a	0
4#n	0
40#a	0
40#n	0
400#a	-0.19821
400th#a	0
401-k_plan#n	0
401-k#n	0
40th#a	0
41#a	0
41st#a	0
42#a	0
42nd#a	0
43#a	0
43rd#a	0
44#a	0
440_yards#n	0
44th#a	0
45#a	0
45th#a	0
46#a	0
46th#a	0
47#a	0
47th#a	0
48#a	0
48th#a	0
49#a	0
49th#a	0
4th#a	0
4to#n	0
4wd#n	0
5-hitter#n	0
5-hydroxy-3-methylglutaryl-coenzyme_a_reductase#n	0.04030
5-hydroxytryptamine#n	0
5-membered#a	0
5#a	0
5#n	0
50#a	0
50#n	0
500#a	0
500#n	0
